"","Newspaper","City","State","Year","County","Full_State","GISJOIN","STATEICP","STATEFIPS","COUNTYFIPS","VARIABLE NAME"
"95","South Carolina Leader","Charleston","SC",1865,"Charleston","South Carolina","G4200450","48","45","190",NA
"96","South Carolina Leader","Charleston","SC",1866,"Charleston","South Carolina","G4200450","48","45","190",NA
"97","South Carolina Leader","Charleston","SC",1867,"Charleston","South Carolina","G4200450","48","45","190",NA
"98","The Tennessean","Nashville","TN",1866,"Davidson","Tennessee","G4600590","54","47","370",NA
"99","The Weekly Louisianian","New Orleans","LA",1872,"Orleans","Louisiana","G2101930","45","22","710",NA
"100","The Weekly Louisianian","New Orleans","LA",1873,"Orleans","Louisiana","G2101930","45","22","710",NA
"101","The Weekly Louisianian","New Orleans","LA",1874,"Orleans","Louisiana","G2101930","45","22","710",NA
"102","The Weekly Louisianian","New Orleans","LA",1875,"Orleans","Louisiana","G2101930","45","22","710",NA
"103","The Weekly Louisianian","New Orleans","LA",1876,"Orleans","Louisiana","G2101930","45","22","710",NA
"104","The Weekly Louisianian","New Orleans","LA",1878,"Orleans","Louisiana","G2101930","45","22","710",NA
"105","The Weekly Louisianian","New Orleans","LA",1879,"Orleans","Louisiana","G2101930","45","22","710",NA
"106","The Weekly Louisianian","New Orleans","LA",1880,"Orleans","Louisiana","G2101930","45","22","710",NA
"107","The Weekly Louisianian","New Orleans","LA",1881,"Orleans","Louisiana","G2101930","45","22","710",NA
"108","The Weekly Louisianian","New Orleans","LA",1882,"Orleans","Louisiana","G2101930","45","22","710",NA
"109","African Expositor","Raleigh","NC",1886,"Wake","North Carolina","G3700650","47","37","1830",NA
"110","Africo-American Presbyterian","Wilmington","NC",1899,"New Hanover","North Carolina","G3700110","47","37","1290",NA
"111","Afro-American Churchman","Petersburg","VA",1886,"Dinwiddie","Virginia","G4900410","40","51","530",NA
"112","Afro-American Churchman","Petersburg","VA",1886,"Prince George","Virginia","G5100650","40","51","1490",NA
"113","Afro-American Churchman","Petersburg","VA",1887,"Dinwiddie","Virginia","G4900410","40","51","530",NA
"114","Afro-American Churchman","Petersburg","VA",1887,"Prince George","Virginia","G5100650","40","51","1490",NA
"115","Afro-American Churchman","Petersburg","VA",1888,"Dinwiddie","Virginia","G4900410","40","51","530",NA
"116","Afro-American Churchman","Petersburg","VA",1888,"Prince George","Virginia","G5100650","40","51","1490",NA
"117","Afro-American Churchman","Petersburg","VA",1889,"Dinwiddie","Virginia","G4900410","40","51","530",NA
"118","Afro-American Churchman","Petersburg","VA",1889,"Prince George","Virginia","G5100650","40","51","1490",NA
"119","Afro-American Churchman","Petersburg","VA",1890,"Dinwiddie","Virginia","G4900410","40","51","530",NA
"120","Afro-American Churchman","Petersburg","VA",1890,"Prince George","Virginia","G5100650","40","51","1490",NA
"121","Afro-American Churchman","Norfolk","VA",1886,"Norfolk City","Virginia","G5100450","40","51","7100",NA
"122","Afro-American Churchman","Norfolk","VA",1887,"Norfolk City","Virginia","G5100450","40","51","7100",NA
"123","Afro-American Churchman","Norfolk","VA",1888,"Norfolk City","Virginia","G5100450","40","51","7100",NA
"124","Afro-American Churchman","Norfolk","VA",1889,"Norfolk City","Virginia","G5100450","40","51","7100",NA
"125","Afro-American Churchman","Norfolk","VA",1890,"Norfolk City","Virginia","G5100450","40","51","7100",NA
"126","The American Citizen","Baltimore","MD",1879,"Baltimore City","Maryland","G2200890","52","24","5100",NA
"127","The American Citizen","Topeka","KS",1889,"Shawnee","Kansas","G2000590","32","20","1770",NA
"128","The American Negro","Springfield","MO",1890,"Greene","Missouri","G2801230","34","29","770",NA
"129","The Appeal","Saint Paul","MN",1889,"Ramsey","Minnesota","G2700050","33","27","1230",NA
"130","The Appeal","Saint Paul","MN",1890,"Ramsey","Minnesota","G2700050","33","27","1230",NA
"131","The Appeal","Saint Paul","MN",1891,"Ramsey","Minnesota","G2700050","33","27","1230",NA
"132","The Appeal","Saint Paul","MN",1892,"Ramsey","Minnesota","G2700050","33","27","1230",NA
"133","The Appeal","Saint Paul","MN",1893,"Ramsey","Minnesota","G2700050","33","27","1230",NA
"134","The Appeal","Saint Paul","MN",1894,"Ramsey","Minnesota","G2700050","33","27","1230",NA
"135","The Appeal","Saint Paul","MN",1895,"Ramsey","Minnesota","G2700050","33","27","1230",NA
"136","The Appeal","Saint Paul","MN",1896,"Ramsey","Minnesota","G2700050","33","27","1230",NA
"137","The Appeal","Saint Paul","MN",1897,"Ramsey","Minnesota","G2700050","33","27","1230",NA
"138","The Appeal","Saint Paul","MN",1898,"Ramsey","Minnesota","G2700050","33","27","1230",NA
"139","The Appeal","Saint Paul","MN",1899,"Ramsey","Minnesota","G2700050","33","27","1230",NA
"140","The Appeal","Saint Paul","MN",1900,"Ramsey","Minnesota","G2700050","33","27","1230",NA
"141","The Appeal","Saint Paul","MN",1901,"Ramsey","Minnesota","G2700050","33","27","1230",NA
"142","The Appeal","Saint Paul","MN",1902,"Ramsey","Minnesota","G2700050","33","27","1230",NA
"143","The Appeal","Saint Paul","MN",1904,"Ramsey","Minnesota","G2700050","33","27","1230",NA
"144","The Appeal","Saint Paul","MN",1905,"Ramsey","Minnesota","G2700050","33","27","1230",NA
"145","The Appeal","Saint Paul","MN",1906,"Ramsey","Minnesota","G2700050","33","27","1230",NA
"146","The Appeal","Saint Paul","MN",1907,"Ramsey","Minnesota","G2700050","33","27","1230",NA
"147","The Appeal","Saint Paul","MN",1908,"Ramsey","Minnesota","G2700050","33","27","1230",NA
"148","The Appeal","Saint Paul","MN",1909,"Ramsey","Minnesota","G2700050","33","27","1230",NA
"149","The Appeal","Saint Paul","MN",1910,"Ramsey","Minnesota","G2700050","33","27","1230",NA
"150","The Appeal","Saint Paul","MN",1911,"Ramsey","Minnesota","G2700050","33","27","1230",NA
"151","The Appeal","Saint Paul","MN",1912,"Ramsey","Minnesota","G2700050","33","27","1230",NA
"152","The Appeal","Saint Paul","MN",1913,"Ramsey","Minnesota","G2700050","33","27","1230",NA
"153","The Appeal","Saint Paul","MN",1914,"Ramsey","Minnesota","G2700050","33","27","1230",NA
"154","The Appeal","Saint Paul","MN",1915,"Ramsey","Minnesota","G2700050","33","27","1230",NA
"155","The Appeal","Saint Paul","MN",1916,"Ramsey","Minnesota","G2700050","33","27","1230",NA
"156","The Appeal","Saint Paul","MN",1917,"Ramsey","Minnesota","G2700050","33","27","1230",NA
"157","The Appeal","Saint Paul","MN",1918,"Ramsey","Minnesota","G2700050","33","27","1230",NA
"158","The Appeal","Saint Paul","MN",1919,"Ramsey","Minnesota","G2700050","33","27","1230",NA
"159","The Appeal","Saint Paul","MN",1920,"Ramsey","Minnesota","G2700050","33","27","1230",NA
"160","The Appeal","Saint Paul","MN",1921,"Ramsey","Minnesota","G2700050","33","27","1230",NA
"161","The Appeal","Saint Paul","MN",1922,"Ramsey","Minnesota","G2700050","33","27","1230",NA
"162","The Appeal","Saint Paul","MN",1923,"Ramsey","Minnesota","G2700050","33","27","1230",NA
"163","The Banner-Enterprise","Wilmington","NC",1883,"New Hanover","North Carolina","G3700110","47","37","1290",NA
"164","The Banner-Enterprise","Wilmington","NC",1884,"New Hanover","North Carolina","G3700110","47","37","1290",NA
"165","The Bee","Washington","DC",1882,"District Of Columbia","District of Columbia",NA,NA,NA,NA,NA
"166","The Bee","Washington","DC",1883,"District Of Columbia","District of Columbia",NA,NA,NA,NA,NA
"167","The Bee","Washington","DC",1884,"District Of Columbia","District of Columbia",NA,NA,NA,NA,NA
"168","The Benevolent Banner","North Topeka","KS",1887,"Shawnee","Kansas","G2000590","32","20","1770",NA
"169","The Broad Ax","Salt Lake City","UT",1895,"Salt Lake","Utah","G4804250","67","49","350",NA
"170","The Broad Ax","Salt Lake City","UT",1896,"Salt Lake","Utah","G4804250","67","49","350",NA
"171","The Broad Ax","Salt Lake City","UT",1897,"Salt Lake","Utah","G4804250","67","49","350",NA
"172","The Broad Ax","Salt Lake City","UT",1898,"Salt Lake","Utah","G4804250","67","49","350",NA
"173","The Broad Ax","Salt Lake City","UT",1899,"Salt Lake","Utah","G4804250","67","49","350",NA
"174","The Broad Ax","Salt Lake City","UT",1900,"Salt Lake","Utah","G4804250","67","49","350",NA
"175","The Broad Ax","Salt Lake City","UT",1901,"Salt Lake","Utah","G4804250","67","49","350",NA
"176","The Broad Ax","Salt Lake City","UT",1902,"Salt Lake","Utah","G4804250","67","49","350",NA
"177","The Broad Ax","Salt Lake City","UT",1903,"Salt Lake","Utah","G4804250","67","49","350",NA
"178","The Broad Ax","Salt Lake City","UT",1904,"Salt Lake","Utah","G4804250","67","49","350",NA
"179","The Broad Ax","Salt Lake City","UT",1905,"Salt Lake","Utah","G4804250","67","49","350",NA
"180","The Broad Ax","Salt Lake City","UT",1906,"Salt Lake","Utah","G4804250","67","49","350",NA
"181","The Broad Ax","Salt Lake City","UT",1907,"Salt Lake","Utah","G4804250","67","49","350",NA
"182","The Broad Ax","Salt Lake City","UT",1908,"Salt Lake","Utah","G4804250","67","49","350",NA
"183","The Broad Ax","Salt Lake City","UT",1909,"Salt Lake","Utah","G4804250","67","49","350",NA
"184","The Broad Ax","Salt Lake City","UT",1910,"Salt Lake","Utah","G4804250","67","49","350",NA
"185","The Broad Ax","Salt Lake City","UT",1911,"Salt Lake","Utah","G4804250","67","49","350",NA
"186","The Broad Ax","Salt Lake City","UT",1912,"Salt Lake","Utah","G4804250","67","49","350",NA
"187","The Broad Ax","Salt Lake City","UT",1913,"Salt Lake","Utah","G4804250","67","49","350",NA
"188","The Broad Ax","Salt Lake City","UT",1914,"Salt Lake","Utah","G4804250","67","49","350",NA
"189","The Broad Ax","Salt Lake City","UT",1915,"Salt Lake","Utah","G4804250","67","49","350",NA
"190","The Broad Ax","Salt Lake City","UT",1916,"Salt Lake","Utah","G4804250","67","49","350",NA
"191","The Broad Ax","Salt Lake City","UT",1917,"Salt Lake","Utah","G4804250","67","49","350",NA
"192","The Broad Ax","Salt Lake City","UT",1918,"Salt Lake","Utah","G4804250","67","49","350",NA
"193","The Broad Ax","Salt Lake City","UT",1919,"Salt Lake","Utah","G4804250","67","49","350",NA
"194","The Broad Ax","Salt Lake City","UT",1920,"Salt Lake","Utah","G4804250","67","49","350",NA
"195","The Broad Ax","Salt Lake City","UT",1921,"Salt Lake","Utah","G4804250","67","49","350",NA
"196","The Broad Ax","Salt Lake City","UT",1922,"Salt Lake","Utah","G4804250","67","49","350",NA
"197","The Broad Ax","Chicago","IL",1895,"Cook","Illinois","G1600030","21","17","310",NA
"198","The Broad Ax","Chicago","IL",1896,"Cook","Illinois","G1600030","21","17","310",NA
"199","The Broad Ax","Chicago","IL",1897,"Cook","Illinois","G1600030","21","17","310",NA
"200","The Broad Ax","Chicago","IL",1898,"Cook","Illinois","G1600030","21","17","310",NA
"201","The Broad Ax","Chicago","IL",1899,"Cook","Illinois","G1600030","21","17","310",NA
"202","The Broad Ax","Chicago","IL",1900,"Cook","Illinois","G1600030","21","17","310",NA
"203","The Broad Ax","Chicago","IL",1901,"Cook","Illinois","G1600030","21","17","310",NA
"204","The Broad Ax","Chicago","IL",1902,"Cook","Illinois","G1600030","21","17","310",NA
"205","The Broad Ax","Chicago","IL",1903,"Cook","Illinois","G1600030","21","17","310",NA
"206","The Broad Ax","Chicago","IL",1904,"Cook","Illinois","G1600030","21","17","310",NA
"207","The Broad Ax","Chicago","IL",1905,"Cook","Illinois","G1600030","21","17","310",NA
"208","The Broad Ax","Chicago","IL",1906,"Cook","Illinois","G1600030","21","17","310",NA
"209","The Broad Ax","Chicago","IL",1907,"Cook","Illinois","G1600030","21","17","310",NA
"210","The Broad Ax","Chicago","IL",1908,"Cook","Illinois","G1600030","21","17","310",NA
"211","The Broad Ax","Chicago","IL",1909,"Cook","Illinois","G1600030","21","17","310",NA
"212","The Broad Ax","Chicago","IL",1910,"Cook","Illinois","G1600030","21","17","310",NA
"213","The Broad Ax","Chicago","IL",1911,"Cook","Illinois","G1600030","21","17","310",NA
"214","The Broad Ax","Chicago","IL",1912,"Cook","Illinois","G1600030","21","17","310",NA
"215","The Broad Ax","Chicago","IL",1913,"Cook","Illinois","G1600030","21","17","310",NA
"216","The Broad Ax","Chicago","IL",1914,"Cook","Illinois","G1600030","21","17","310",NA
"217","The Broad Ax","Chicago","IL",1915,"Cook","Illinois","G1600030","21","17","310",NA
"218","The Broad Ax","Chicago","IL",1916,"Cook","Illinois","G1600030","21","17","310",NA
"219","The Broad Ax","Chicago","IL",1917,"Cook","Illinois","G1600030","21","17","310",NA
"220","The Broad Ax","Chicago","IL",1918,"Cook","Illinois","G1600030","21","17","310",NA
"221","The Broad Ax","Chicago","IL",1919,"Cook","Illinois","G1600030","21","17","310",NA
"222","The Broad Ax","Chicago","IL",1920,"Cook","Illinois","G1600030","21","17","310",NA
"223","The Broad Ax","Chicago","IL",1921,"Cook","Illinois","G1600030","21","17","310",NA
"224","The Broad Ax","Chicago","IL",1922,"Cook","Illinois","G1600030","21","17","310",NA
"225","The Bulletin","Louisville","KY",1881,"Jefferson","Kentucky","G2002030","51","21","1110",NA
"226","The Colored American","Washington","DC",1899,"District Of Columbia","District of Columbia",NA,NA,NA,NA,NA
"227","The Colored American","Washington","DC",1900,"District Of Columbia","District of Columbia",NA,NA,NA,NA,NA
"228","The Colored American","Washington","DC",1901,"District Of Columbia","District of Columbia",NA,NA,NA,NA,NA
"229","The Colored American","Washington","DC",1902,"District Of Columbia","District of Columbia",NA,NA,NA,NA,NA
"230","The Colored American","Washington","DC",1903,"District Of Columbia","District of Columbia",NA,NA,NA,NA,NA
"231","The Colored American","Washington","DC",1904,"District Of Columbia","District of Columbia",NA,NA,NA,NA,NA
"232","The Colored Citizen","Helena","MT",1894,"Lewis And Clark","Montana","G2901610","64","30","490",NA
"233","The Colored Citizen","Helena","MT",1894,"Lewis And Clark","Montana","G2901610","64","30","490",NA
"234","The Colored Patriot","Topeka","KS",1882,"Shawnee","Kansas","G2000590","32","20","1770",NA
"235","The Colored Visitor","Logansport","IN",1879,"Cass","Indiana","G1701030","22","18","170",NA
"236","The Conservator","Chicago","IL",1882,"Cook","Illinois","G1600030","21","17","310",NA
"237","The Conservator","Chicago","IL",1883,"Cook","Illinois","G1600030","21","17","310",NA
"238","The Conservator","Chicago","IL",1886,"Cook","Illinois","G1600030","21","17","310",NA
"239","The Crusader","New Orleans","LA",1890,"Orleans","Louisiana","G2101930","45","22","710",NA
"240","The Daily Republican","Seattle","WA",1896,"King","Washington","G5107350","73","53","330",NA
"241","The Free American","Columbus","OH",1887,"Franklin","Ohio","G3800370","24","39","490",NA
"242","The Freeman","Indianapolis","IN",1888,"Marion","Indiana","G1701830","22","18","970",NA
"243","The Freeman","Indianapolis","IN",1889,"Marion","Indiana","G1701830","22","18","970",NA
"244","The Freeman","Indianapolis","IN",1900,"Marion","Indiana","G1701830","22","18","970",NA
"245","The Freeman","Indianapolis","IN",1901,"Marion","Indiana","G1701830","22","18","970",NA
"246","The Freeman","Indianapolis","IN",1902,"Marion","Indiana","G1701830","22","18","970",NA
"247","The Freeman","Indianapolis","IN",1903,"Marion","Indiana","G1701830","22","18","970",NA
"248","The Freeman","Indianapolis","IN",1904,"Marion","Indiana","G1701830","22","18","970",NA
"249","The Freeman","Indianapolis","IN",1905,"Marion","Indiana","G1701830","22","18","970",NA
"250","The Freeman","Indianapolis","IN",1906,"Marion","Indiana","G1701830","22","18","970",NA
"251","The Freeman","Indianapolis","IN",1907,"Marion","Indiana","G1701830","22","18","970",NA
"252","The Freeman","Indianapolis","IN",1908,"Marion","Indiana","G1701830","22","18","970",NA
"253","The Freeman","Indianapolis","IN",1909,"Marion","Indiana","G1701830","22","18","970",NA
"254","The Freeman","Indianapolis","IN",1910,"Marion","Indiana","G1701830","22","18","970",NA
"255","The Freeman","Indianapolis","IN",1911,"Marion","Indiana","G1701830","22","18","970",NA
"256","The Freeman","Indianapolis","IN",1912,"Marion","Indiana","G1701830","22","18","970",NA
"257","The Freeman","Indianapolis","IN",1913,"Marion","Indiana","G1701830","22","18","970",NA
"258","The Freeman","Indianapolis","IN",1914,"Marion","Indiana","G1701830","22","18","970",NA
"259","The Freeman","Indianapolis","IN",1915,"Marion","Indiana","G1701830","22","18","970",NA
"260","The Gazette","Raleigh","NC",1891,"Wake","North Carolina","G3700650","47","37","1830",NA
"261","The Gazette","Raleigh","NC",1893,"Wake","North Carolina","G3700650","47","37","1830",NA
"262","The Gazette","Raleigh","NC",1894,"Wake","North Carolina","G3700650","47","37","1830",NA
"263","The Gazette","Raleigh","NC",1896,"Wake","North Carolina","G3700650","47","37","1830",NA
"264","The Gazette","Raleigh","NC",1897,"Wake","North Carolina","G3700650","47","37","1830",NA
"265","The Gazette","Raleigh","NC",1898,"Wake","North Carolina","G3700650","47","37","1830",NA
"266","The Golden Rule","Vicksburg","MS",1899,"Warren","Mississippi","G2800310","46","28","1490",NA
"267","Herald of Kansas","Topeka","KS",1880,"Shawnee","Kansas","G2000590","32","20","1770",NA
"268","Huntsville Gazette","Huntsville","AL",1881,"Madison","Alabama","G0100890","41","1","890",NA
"269","Huntsville Gazette","Huntsville","AL",1882,"Madison","Alabama","G0100890","41","1","890",NA
"270","Huntsville Gazette","Huntsville","AL",1883,"Madison","Alabama","G0100890","41","1","890",NA
"271","Huntsville Gazette","Huntsville","AL",1884,"Madison","Alabama","G0100890","41","1","890",NA
"272","Huntsville Gazette","Huntsville","AL",1885,"Madison","Alabama","G0100890","41","1","890",NA
"273","Huntsville Gazette","Huntsville","AL",1886,"Madison","Alabama","G0100890","41","1","890",NA
"274","Huntsville Gazette","Huntsville","AL",1887,"Madison","Alabama","G0100890","41","1","890",NA
"275","Huntsville Gazette","Huntsville","AL",1888,"Madison","Alabama","G0100890","41","1","890",NA
"276","Huntsville Gazette","Huntsville","AL",1889,"Madison","Alabama","G0100890","41","1","890",NA
"277","Huntsville Gazette","Huntsville","AL",1890,"Madison","Alabama","G0100890","41","1","890",NA
"278","Huntsville Gazette","Huntsville","AL",1891,"Madison","Alabama","G0100890","41","1","890",NA
"279","Huntsville Gazette","Huntsville","AL",1892,"Madison","Alabama","G0100890","41","1","890",NA
"280","Huntsville Gazette","Huntsville","AL",1893,"Madison","Alabama","G0100890","41","1","890",NA
"281","Huntsville Gazette","Huntsville","AL",1894,"Madison","Alabama","G0100890","41","1","890",NA
"282","The Indianapolis Leader","Indianapolis","IN",1879,"Marion","Indiana","G1701830","22","18","970",NA
"283","The Indianapolis Leader","Indianapolis","IN",1880,"Marion","Indiana","G1701830","22","18","970",NA
