#,Judge,District,"Began active
service","Ended active
service","Ended senior
status","Reason for
termination",Appointed by
108,Gerald Bruce Lee,E.D. Va.,"October 1, 1998","September 30, 2017",—,resignation,Clinton
109,Margaret B. Seymour,D.S.C.,"October 22, 1998","January 16, 2013","August 31, 2022",retirement,Clinton
110,William J. Hibbler,N.D. Ill.,"April 22, 1999","March 19, 2012",—,death,Clinton
111,William Joseph Haynes Jr.,M.D. Tenn.,"November 15, 1999","December 1, 2014","January 16, 2017",retirement,Clinton
112,George B. Daniels,S.D.N.Y.,"March 9, 2000","May 1, 2021",Incumbent,—,Clinton
113,Phyllis J. Hamilton,N.D. Cal.,"May 25, 2000","February 1, 2021",Incumbent,—,Clinton
114,Petrese B. Tucker,E.D. Pa.,"June 1, 2000","June 1, 2021",Incumbent,—,Clinton
115,Laura Taylor Swain,S.D.N.Y.,"July 11, 2000",Incumbent,—,—,Clinton
116,Reggie Walton,D.D.C.,"September 24, 2001","December 31, 2015",Incumbent,—,G.W. Bush
117,Julie A. Robinson,D. Kan.,"December 13, 2001","January 14, 2022",Incumbent,—,G.W. Bush
118,Legrome D. Davis,E.D. Pa.,"April 23, 2002","September 28, 2017",Incumbent,—,G.W. Bush
119,Percy Anderson,C.D. Cal.,"May 1, 2002",Incumbent,—,—,G.W. Bush
120,Henry Autrey,E.D. Mo.,"August 2, 2002",Incumbent,—,—,G.W. Bush
121,Morrison C. England Jr.,E.D. Cal.,"August 2, 2002","December 17, 2019",Incumbent,—,G.W. Bush
122,William D. Quarles Jr.,D. Md.,"March 14, 2003","February 1, 2016",—,resignation,G.W. Bush
123,Stephen C. Robinson,S.D.N.Y.,"September 22, 2003","August 11, 2010",—,resignation,G.W. Bush
124,John A. Houston,S.D. Cal.,"October 7, 2003","February 6, 2018",Incumbent,—,G.W. Bush
125,Marcia G. Cooke,S.D. Fla.,"May 18, 2004","July 15, 2022","January 27, 2023",death,G.W. Bush
126,Sandra L. Townes,E.D.N.Y.,"August 2, 2004","May 1, 2015","February 8, 2018",death,G.W. Bush
127,Susan D. Wigenton,D.N.J.,"June 12, 2006",Incumbent,—,—,G.W. Bush
128,Vanessa Lynne Bryant,D. Conn.,"April 2, 2007","February 1, 2021",Incumbent,—,G.W. Bush
129,Otis D. Wright II,C.D. Cal.,"April 16, 2007",Incumbent,—,—,G.W. Bush
130,Richard A. Jones,W.D. Wash.,"October 29, 2007","September 5, 2022",Incumbent,—,G.W. Bush
131,Brian Stacy Miller,E.D. Ark.,"April 17, 2008",Incumbent,—,—,G.W. Bush
132,Mary Stenson Scriven,M.D. Fla.,"September 30, 2008",Incumbent,—,—,G.W. Bush
133,C. Darnell Jones II,E.D. Pa.,"October 30, 2008","March 15, 2021",Incumbent,—,G.W. Bush
134,Irene Berger,S.D. W. Va.,"November 9, 2009",Incumbent,—,—,Obama
135,Charlene Honeywell,M.D. Fla.,"November 12, 2009",Incumbent,—,—,Obama
136,Abdul Kallon,N.D. Ala.,"January 4, 2010","August 31, 2022",—,resignation,Obama
137,Tanya Walton Pratt,S.D. Ind.,"June 15, 2010",Incumbent,—,—,Obama
138,Brian Anthony Jackson,M.D. La.,"June 15, 2010",Incumbent,—,—,Obama
139,Sharon Johnson Coleman,N.D. Ill.,"July 13, 2010",Incumbent,—,—,Obama
140,J. Michelle Childs,D.S.C.,"August 20, 2010","August 2, 2022",—,elevation to D.C. Circuit,Obama
141,Denise J. Casper,D. Mass.,"December 20, 2010",Incumbent,—,—,Obama
142,Carlton W. Reeves,S.D. Miss.,"December 20, 2010",Incumbent,—,—,Obama
143,Benita Y. Pearson,N.D. Ohio,"December 27, 2010",Incumbent,—,—,Obama
144,Robert L. Wilkins,D.D.C.,"December 27, 2010","January 24, 2014",—,elevation to D.C. Circuit,Obama
145,Steve C. Jones,N.D. Ga.,"March 3, 2011",Incumbent,—,—,Obama
146,Arenda Wright Allen,E.D. Va.,"May 12, 2011",Incumbent,—,—,Obama
147,Nannette Jolivette Brown,E.D. La.,"October 4, 2011",Incumbent,—,—,Obama
148,William F. Kuntz II,E.D.N.Y.,"October 4, 2011","January 1, 2022",Incumbent,—,Obama
149,Andrew L. Carter Jr.,S.D.N.Y.,"October 8, 2011",Incumbent,—,—,Obama
,,,,,,,
150,Margo Kitsy Brodie,E.D.N.Y.,"February 29, 2012",Incumbent,—,—,Obama
151,Brian C. Wimes,E.D. Mo.,"April 30, 2012",Incumbent,—,—,Obama
151,Brian C. Wimes,W.D. Mo.,"April 30, 2012",Incumbent,—,—,Obama
152,George L. Russell III,D. Md.,"May 22, 2012",Incumbent,—,—,Obama
153,Michael A. Shipp,D.N.J.,"July 26, 2012",Incumbent,—,—,Obama
154,John T. Fowlkes Jr.,W.D. Tenn.,"August 1, 2012","September 1, 2022",Incumbent,—,Obama
155,Gershwin A. Drain,E.D. Mich.,"August 8, 2012","August 13, 2022",Incumbent,—,Obama
156,Ketanji Brown Jackson,D.D.C.,"March 26, 2013","June 17, 2021",—,elevation to D.C. Circuit,Obama
157,Raymond P. Moore,D. Colo.,"March 26, 2013",Incumbent,—,—,Obama
158,Troy L. Nunley,E.D. Cal.,"March 26, 2013",Incumbent,—,—,Obama
159,Analisa Torres,S.D.N.Y.,"April 23, 2013",Incumbent,—,—,Obama
160,Vernon S. Broderick,S.D.N.Y.,"September 10, 2013",Incumbent,—,—,Obama
161,Sara L. Ellis,N.D. Ill.,"October 8, 2013",Incumbent,—,—,Obama
162,Andrea Wood,N.D. Ill.,"October 15, 2013",Incumbent,—,—,Obama
163,Debra M. Brown,N.D. Miss.,"November 5, 2013",Incumbent,—,—,Obama
164,Gregory Howard Woods,S.D.N.Y.,"November 18, 2013",Incumbent,—,—,Obama
165,Brian J. Davis,M.D. Fla.,"December 26, 2013",Incumbent,—,—,Obama
166,Linda Vivienne Parker,E.D. Mich.,"March 17, 2014",Incumbent,—,—,Obama
167,Christopher R. Cooper,D.D.C.,"March 28, 2014",Incumbent,—,—,Obama
168,George J. Hazel,D. Md.,"May 2, 2014","February 24, 2023",—,resignation,Obama
169,Steven Logan,D. Ariz.,"May 16, 2014",Incumbent,—,—,Obama
170,Tanya S. Chutkan,D.D.C.,"June 5, 2014",Incumbent,—,—,Obama
171,Richard F. Boulware,D. Nev.,"June 10, 2014",Incumbent,—,—,Obama
172,Staci Michelle Yandle,S.D. Ill.,"June 19, 2014",Incumbent,—,—,Obama
173,Darrin P. Gayles,S.D. Fla.,"June 19, 2014",Incumbent,—,—,Obama
174,Ronnie L. White,E.D. Mo.,"July 17, 2014",Incumbent,—,—,Obama
175,André Birotte Jr.,C.D. Cal.,"August 8, 2014",Incumbent,—,—,Obama
176,Leslie Abrams Gardner,M.D. Ga.,"November 20, 2014",Incumbent,—,—,Obama
177,Eleanor L. Ross,N.D. Ga.,"November 20, 2014",Incumbent,—,—,Obama
178,Wendy Beetlestone,E.D. Pa.,"November 21, 2014",Incumbent,—,—,Obama
179,Victor Allen Bolden,D. Conn.,"November 21, 2014",Incumbent,—,—,Obama
180,Haywood Gilliam,N.D. Cal.,"December 19, 2014",Incumbent,—,—,Obama
181,Loretta Copeland Biggs,M.D.N.C.,"December 19, 2014",Incumbent,—,—,Obama
182,Alfred H. Bennett,S.D. Tex.,"April 15, 2015",Incumbent,—,—,Obama
183,George C. Hanks Jr.,S.D. Tex.,"April 22, 2015",Incumbent,—,—,Obama
184,LaShann DeArcy Hall,E.D.N.Y.,"November 17, 2015",Incumbent,—,—,Obama
185,Wilhelmina Wright,D. Minn.,"February 18, 2016",Incumbent,—,—,Obama
186,Waverly D. Crenshaw Jr.,M.D. Tenn.,"April 12, 2016",Incumbent,—,—,Obama
187,Terry F. Moorer,S.D. Ala.,"September 4, 2018",Incumbent,—,—,Trump
188,Rossie D. Alston Jr.,E.D. Va.,"June 12, 2019",Incumbent,—,—,Trump
189,Rodney Smith,S.D. Fla.,"June 14, 2019",Incumbent,—,—,Trump
190,Jason K. Pulliam,W.D. Tex.,"August 5, 2019",Incumbent,—,—,Trump
191,John Milton Younge,E.D. Pa.,"August 20, 2019",Incumbent,—,—,Trump
192,Ada E. Brown,N.D. Tex.,"September 13, 2019",Incumbent,—,—,Trump
193,Richard E. Myers II,E.D.N.C.,"December 10, 2019",Incumbent,—,—,Trump
194,Stephanie D. Davis,E.D. Mich.,"December 31, 2019","June 14, 2022",—,elevation to Sixth Circuit,Trump
195,Bernard M. Jones,W.D. Okla.,"December 31, 2019",Incumbent,—,—,Trump
196,Franklin U. Valderrama,N.D. Ill.,"September 23, 2020",Incumbent,—,—,Trump
197,Roderick C. Young,E.D. Va.,"September 29, 2020",Incumbent,—,—,Trump
198,Joseph Dawson III,D.S.C.,"December 22, 2020",Incumbent,—,—,Trump
199,Julien Neals,D.N.J.,"June 22, 2021",Incumbent,–,–,Biden
200,Lydia Kay Griggsby,D. Md.,"July 20, 2021",Incumbent,–,–,Biden
201,Angel Kelley,D. Mass.,"September 15, 2021",Incumbent,–,–,Biden
202,Karen M. Williams,D.N.J.,"November 1, 2021",Incumbent,–,–,Biden
203,Patricia Tolliver Giles,E.D. Va.,"November 1, 2021",Incumbent,–,–,Biden
204,Jia M. Cobb,D.D.C.,"November 12, 2021",Incumbent,–,–,Biden
205,Omar A. Williams,D. Conn.,"November 12, 2021",Incumbent,–,–,Biden
206,Maame Ewusi-Mensah Frimpong,C.D. Cal.,"February 7, 2022",Incumbent,–,–,Biden
207,Charles E. Fleming,N.D. Ohio,"February 8, 2022",Incumbent,–,–,Biden
208,Victoria Calvert,N.D. Ga.,"April 5, 2022",Incumbent,–,–,Biden
209,Fred W. Slaughter,C.D. Cal.,"April 19, 2022",Incumbent,–,–,Biden
210,Sherilyn Peace Garnett,C.D. Cal.,"June 24, 2022",Incumbent,–,–,Biden
211,Trina Thompson,N.D. Cal.,"August 5, 2022",Incumbent,–,–,Biden
212,Gregory B. Williams,D. Del.,"September 1, 2022",Incumbent,–,–,Biden
213,Kelley B. Hodge,E.D. Pa.,"December 23, 2022",Incumbent,–,–,Biden
214,Mia Roberts Perez,E.D. Pa.,"December 16, 2022",Incumbent,–,–,Biden
215,Kai Scott,E.D. Pa.,"January 18, 2023",Incumbent,–,–,Biden
216,Jerry W. Blackwell,D. Minn.,"December 20, 2022",Incumbent,–,–,Biden
217,Jeffery P. Hopkins,S.D. Ohio,"December 16, 2022",Incumbent,–,–,Biden
218,Lindsay C. Jenkins,N.D. Ill.,"February 24, 2023",Incumbent,–,–,Biden
219,Adrienne Nelson,D. Ore.,"February 23, 2023",Incumbent,–,–,Biden
220,Jamar K. Walker,E.D. Va.,"March 3, 2023",Incumbent,–,–,Biden
221,Jamal Whitehead,W.D. Wash.,"March 14, 2023",Incumbent,–,–,Biden
222,Jonathan J. C. Grey,E.D. Mich.,"March 9, 2023",Incumbent,–,–,Biden
223,James E. Simmons Jr.,S.D. Cal.,"March 10, 2023",Incumbent,—,—,Biden
224,Jessica G. L. Clarke,S.D.N.Y.,"April 20, 2023",Incumbent,—,—,Biden
225,Orelia Merchant,E.D.N.Y.,"May 12, 2023",Incumbent,—,—,Biden
226,LaShonda A. Hunt,N.D. Ill.,"May 26, 2023",Incumbent,—,—,Biden
227,Jeremy C. Daniel,N.D. Ill.,"June 6, 2023",Incumbent,—,—,Biden
228,Darrel J. Papillion,E.D. La.,"June 1, 2023",Incumbent,—,—,Biden
229,Natasha C. Merle,E.D.N.Y.,"August 11, 2023",Incumbent,—,—,Biden
230,Jeffrey Cummings,N.D. Ill.,"October 10, 2023",Incumbent,—,—,Biden
231,Vernon D. Oliver,D. Conn.,"October 18, 2023",Incumbent,—,—,Biden
232,Brandy R. McMillion,E.D. Mich.,Designate,—,—,—,Biden
