,STNAME,CTYNAME,black_population,total_population,cty_percentage
586,Idaho,Minidoka County,3560,493672,0.00721126578
587,Idaho,Nez Perce County,4494,962108,0.004670993277
588,Idaho,Oneida County,385780,6503984,0.05931441406
589,Idaho,Owyhee County,2340,277824,0.00842259848
590,Idaho,Payette County,2226,558376,0.003986561027
591,Idaho,Power County,1866,185040,0.0100843061
592,Idaho,Shoshone County,1504,303972,0.004947824142
593,Idaho,Teton County,5296,958624,0.005524585239
594,Idaho,Twin Falls County,15824,1993038,0.007939637879
595,Idaho,Valley County,1790,530854,0.003371925237
596,Idaho,Washington County,3336744,61811224,0.0539828171
597,Illinois,Adams County,995836,19994978,0.04980430586
598,Illinois,Alexander County,106610,1053296,0.1012156127
599,Illinois,Bond County,25364,406178,0.06244552881
600,Illinois,Boone County,579268,12294946,0.04711431835
601,Illinois,Brown County,267768,10509984,0.02547748883
602,Illinois,Bureau County,7296,804436,0.009069708467
603,Illinois,Calhoun County,1377512,8375494,0.1644693435
604,Illinois,Carroll County,868206,12727756,0.06821359555
605,Illinois,Cass County,526310,11375748,0.04626596862
606,Illinois,Champaign County,685438,5926880,0.115649043
607,Illinois,Christian County,404908,4563886,0.08872000747
608,Illinois,Clark County,7190408,71104570,0.1011244144
609,Illinois,Clay County,1402206,16836214,0.08328511386
610,Illinois,Clinton County,237318,9313182,0.02548194591
611,Illinois,Coles County,48834,1249032,0.03909747709
612,Illinois,Cook County,30544330,125292396,0.2437843874
613,Illinois,Crawford County,204010,8251950,0.02472264132
614,Illinois,Cumberland County,4396326,26604214,0.1652492346
615,Illinois,DeKalb County,9967930,23648342,0.4215065056
616,Illinois,De Witt County,3276,385352,0.008501318275
617,Illinois,Douglas County,3364802,34766672,0.09678240126
618,Illinois,DuPage County,1139376,22240878,0.05122891282
619,Illinois,Edgar County,2200,423588,0.005193725979
620,Illinois,Edwards County,2388,273120,0.00874340949
621,Illinois,Effingham County,199520,2224696,0.08968416359
622,Illinois,Fayette County,2371166,18674014,0.126976771
623,Illinois,Ford County,26734,1141082,0.02342864054
624,Illinois,Franklin County,8205618,53658684,0.1529224608
625,Illinois,Fulton County,10967506,28762146,0.3813173746
626,Illinois,Gallatin County,14934,2813586,0.005307817142
627,Illinois,Greene County,1281880,18860946,0.06796477759
628,Illinois,Grundy County,24160,2072292,0.01165858865
629,Illinois,Hamilton County,7236688,37006032,0.1955542815
630,Illinois,Hancock County,357836,8005512,0.04469870259
631,Illinois,Hardin County,439014,5850790,0.07503499527
632,Illinois,Henderson County,354562,6580512,0.0538806099
633,Illinois,Henry County,2850166,12125520,0.2350551564
634,Illinois,Iroquois County,7118,677332,0.01050887895
635,Illinois,Jackson County,5952394,41466070,0.1435485446
636,Illinois,Jasper County,797952,7028740,0.1135270333
637,Illinois,Jefferson County,15107612,76885430,0.1964951227
638,Illinois,Jersey County,3648,532980,0.006844534504
639,Illinois,Jo Daviess County,3196,526054,0.006075421915
640,Illinois,Johnson County,1323588,28732174,0.04606640625
641,Illinois,Kane County,766174,12823996,0.05974533991
642,Illinois,Kankakee County,408144,2669858,0.1528710516
643,Illinois,Kendall County,221002,3954570,0.05588521634
644,Illinois,Knox County,1136358,16617592,0.06838283188
645,Illinois,Lake County,5438506,45738584,0.1189041182
646,Illinois,LaSalle County,68610,2656382,0.02582836354
647,Illinois,Lawrence County,378764,9495386,0.03988926832
648,Illinois,Lee County,3977428,28438850,0.1398589605
649,Illinois,Livingston County,121980,7497532,0.0162693537
650,Illinois,Logan County,260124,5546610,0.04689783489
651,Illinois,McDonough County,40362,746430,0.05407338933
652,Illinois,McHenry County,111424,7521572,0.01481392454
653,Illinois,McLean County,330872,4586414,0.07214176479
654,Illinois,Macon County,1047434,5120434,0.2045596135
655,Illinois,Macoupin County,10294,1104640,0.009318873117
656,Illinois,Madison County,5304308,33135078,0.1600813494
657,Illinois,Marion County,8719650,48666138,0.1791728368
658,Illinois,Marshall County,570840,8779542,0.065019337
659,Illinois,Mason County,59754,3703608,0.0161339969
660,Illinois,Massac County,20830,347584,0.05992795986
661,Illinois,Menard County,3346,349306,0.009578993776
662,Illinois,Mercer County,2167436,15166986,0.1429048593
663,Illinois,Monroe County,4610660,37336686,0.1234887317
664,Illinois,Montgomery County,14663838,88804858,0.1651242773
665,Illinois,Morgan County,602266,8869524,0.06790285476
666,Illinois,Moultrie County,1754,352116,0.004981312976
667,Illinois,Ogle County,13850,1238888,0.01117938022
668,Illinois,Peoria County,815742,4413808,0.1848159231
669,Illinois,Perry County,306678,5013282,0.06117309978
670,Illinois,Piatt County,2260,395042,0.005720910688
671,Illinois,Pike County,1001028,7055636,0.1418763666
672,Illinois,Pope County,55926,1889384,0.02960012364
673,Illinois,Pulaski County,3802972,13747644,0.2766271806
674,Illinois,Putnam County,605496,9819116,0.06166502158
675,Illinois,Randolph County,565754,7254296,0.07798882207
676,Illinois,Richland County,4930850,14111142,0.3494295501
677,Illinois,Rock Island County,363376,3477842,0.1044831824
678,Illinois,St. Clair County,2227386,12505714,0.1781094626
679,Illinois,Saline County,302040,5602418,0.05391243567
680,Illinois,Sangamon County,598344,4735340,0.1263571359
681,Illinois,Schuyler County,10972,712242,0.01540487643
682,Illinois,Scott County,910316,12520840,0.07270406778
683,Illinois,Shelby County,12929384,32414764,0.3988733035
684,Illinois,Stark County,720034,9799032,0.07348011518
685,Illinois,Stephenson County,108456,1095710,0.09898239498
686,Illinois,Tazewell County,72758,4236610,0.01717363647
687,Illinois,Union County,4679118,27003340,0.1732792314
688,Illinois,Vermilion County,257994,1884380,0.1369118755
689,Illinois,Wabash County,7954,1038832,0.007656675959
690,Illinois,Warren County,1618818,19770854,0.08187901241
691,Illinois,Washington County,3336744,61811224,0.0539828171
692,Illinois,Wayne County,18314310,57520294,0.3183973642
693,Illinois,White County,114146,4139982,0.02757161746
694,Illinois,Whiteside County,23770,1357488,0.0175102837
695,Illinois,Will County,1960486,16469418,0.1190379648
696,Illinois,Williamson County,1174766,19293466,0.06088931869
697,Illinois,Winnebago County,1009712,11224228,0.08995825815
698,Illinois,Woodford County,37130,1550216,0.02395150095
699,Indiana,Adams County,995836,19994978,0.04980430586
700,Indiana,Allen County,1391770,12162636,0.114429964
701,Indiana,Bartholomew County,43662,1952180,0.02236576545
702,Indiana,Benton County,341662,15755756,0.02168490043
703,Indiana,Blackford County,1932,292850,0.006597234079
704,Indiana,Boone County,579268,12294946,0.04711431835
705,Indiana,Brown County,267768,10509984,0.02547748883
706,Indiana,Carroll County,868206,12727756,0.06821359555
707,Indiana,Cass County,526310,11375748,0.04626596862
708,Indiana,Clark County,7190408,71104570,0.1011244144
709,Indiana,Clay County,1402206,16836214,0.08328511386
710,Indiana,Clinton County,237318,9313182,0.02548194591
711,Indiana,Crawford County,204010,8251950,0.02472264132
712,Indiana,Daviess County,129764,3376488,0.03843164851
713,Indiana,Dearborn County,7914,1192720,0.006635253873
714,Indiana,Decatur County,290132,1822880,0.1591613271
715,Indiana,DeKalb County,9967930,23648342,0.4215065056
716,Indiana,Delaware County,3327660,23513044,0.1415239983
717,Indiana,Dubois County,6930,1016654,0.006816478369
718,Indiana,Elkhart County,297520,4863280,0.06117681894
719,Indiana,Fayette County,2371166,18674014,0.126976771
720,Indiana,Floyd County,473650,5966948,0.07937893878
721,Indiana,Fountain County,1792,400952,0.004469362916
722,Indiana,Franklin County,8205618,53658684,0.1529224608
723,Indiana,Fulton County,10967506,28762146,0.3813173746
724,Indiana,Gibson County,237166,1992884,0.1190064249
725,Indiana,Grant County,209572,7955664,0.02634249008
726,Indiana,Greene County,1281880,18860946,0.06796477759
727,Indiana,Hamilton County,7236688,37006032,0.1955542815
728,Indiana,Hancock County,357836,8005512,0.04469870259
729,Indiana,Harrison County,1586804,10368244,0.1530446236
730,Indiana,Hendricks County,254756,3838564,0.06636752702
731,Indiana,Henry County,2850166,12125520,0.2350551564
732,Indiana,Howard County,1725344,11276926,0.152997723
733,Indiana,Huntington County,5282,878850,0.00601012687
734,Indiana,Jackson County,5952394,41466070,0.1435485446
735,Indiana,Jasper County,797952,7028740,0.1135270333
736,Indiana,Jay County,2146,502628,0.004269559197
737,Indiana,Jefferson County,15107612,76885430,0.1964951227
738,Indiana,Jennings County,5602,669150,0.008371814989
739,Indiana,Johnson County,1323588,28732174,0.04606640625
740,Indiana,Knox County,1136358,16617592,0.06838283188
741,Indiana,Kosciusko County,19256,1884052,0.0102205247
742,Indiana,LaGrange County,4256,930358,0.004574583117
743,Indiana,Lake County,5438506,45738584,0.1189041182
744,Indiana,LaPorte County,302346,2656294,0.113822491
745,Indiana,Lawrence County,378764,9495386,0.03988926832
746,Indiana,Madison County,5304308,33135078,0.1600813494
747,Indiana,Marion County,8719650,48666138,0.1791728368
748,Indiana,Marshall County,570840,8779542,0.065019337
749,Indiana,Martin County,475172,5438430,0.08737301023
750,Indiana,Miami County,109926,4178252,0.02630908811
751,Indiana,Monroe County,4610660,37336686,0.1234887317
752,Indiana,Montgomery County,14663838,88804858,0.1651242773
753,Indiana,Morgan County,602266,8869524,0.06790285476
754,Indiana,Newton County,1385122,5324522,0.2601401591
755,Indiana,Noble County,22974,1761986,0.01303869611
756,Indiana,Ohio County,44742,1746028,0.02562501861
757,Indiana,Orange County,10403806,122757864,0.08475062746
758,Indiana,Owen County,4888,764424,0.006394357058
759,Indiana,Parke County,9916,408736,0.02426015815
760,Indiana,Perry County,306678,5013282,0.06117309978
761,Indiana,Pike County,1001028,7055636,0.1418763666
762,Indiana,Porter County,156082,4030690,0.03872339475
763,Indiana,Posey County,5970,613364,0.009733208992
764,Indiana,Pulaski County,3802972,13747644,0.2766271806
765,Indiana,Putnam County,605496,9819116,0.06166502158
766,Indiana,Randolph County,565754,7254296,0.07798882207
767,Indiana,Ripley County,4324,1012760,0.004269520913
768,Indiana,Rush County,4134,478628,0.008637187962
769,Indiana,St. Joseph County,907644,7921802,0.1145754463
770,Indiana,Scott County,910316,12520840,0.07270406778
771,Indiana,Shelby County,12929384,32414764,0.3988733035
772,Indiana,Spencer County,11496,933358,0.01231681734
773,Indiana,Starke County,2190,553360,0.003957640596
774,Indiana,Steuben County,43114,3158146,0.01365168045
775,Indiana,Sullivan County,303352,7435512,0.04079772852
776,Indiana,Switzerland County,2366,255950,0.009243992967
777,Indiana,Tippecanoe County,233132,4488056,0.05194498464
778,Indiana,Tipton County,276750,1845766,0.1499377494
779,Indiana,Union County,4679118,27003340,0.1732792314
780,Indiana,Vanderburgh County,417466,4353306,0.0958963142
781,Indiana,Vermillion County,1422,376034,0.003781572943
782,Indiana,Vigo County,185668,2583756,0.07185972669
783,Indiana,Wabash County,7954,1038832,0.007656675959
784,Indiana,Warren County,1618818,19770854,0.08187901241
785,Indiana,Warrick County,22974,1480128,0.01552163056
786,Indiana,Washington County,3336744,61811224,0.0539828171
787,Indiana,Wayne County,18314310,57520294,0.3183973642
788,Indiana,Wells County,4622,765676,0.006036495855
789,Indiana,White County,114146,4139982,0.02757161746
790,Indiana,Whitley County,10530,1673788,0.006291119305
791,Iowa,Adair County,33134,1783908,0.0185738278
792,Iowa,Adams County,995836,19994978,0.04980430586
